,58.06451612903226
know,58.06451612903226
ohoh,50.53763440860215
say,47.31182795698925
baby,44.086021505376344
go,43.01075268817204
heart,40.86021505376344
time,35.483870967741936
wanna,35.483870967741936
round,33.33333333333333
got,29.03225806451613
night,26.881720430107524
get,26.881720430107524
mine,25.806451612903224
home,25.806451612903224
good,22.58064516129032
along,22.58064516129032
lovin',22.58064516129032
little,22.58064516129032
rare,22.58064516129032
train,21.50537634408602
light,21.50537634408602
blue,19.35483870967742
true,19.35483870967742
de,18.27956989247312
gone,18.27956989247312
find,18.27956989247312
hear,17.20430107526882
dance,17.20430107526882
girl,17.20430107526882
around,17.20430107526882
gonna,17.20430107526882
feel,17.20430107526882
lips,17.20430107526882
never,16.129032258064516
said,16.129032258064516
much,16.129032258064516
old,16.129032258064516
can't,16.129032258064516
tell,15.053763440860216
way,15.053763440860216
one,15.053763440860216
sand,15.053763440860216
kind,15.053763440860216
gully,15.053763440860216
head,13.978494623655912
you've,13.978494623655912
babe,13.978494623655912
could,13.978494623655912
romance,13.978494623655912
made,13.978494623655912
rescue,12.903225806451612
call,12.903225806451612
hold,12.903225806451612
life,12.903225806451612
dear,12.903225806451612
music,12.903225806451612
roll,12.903225806451612
leave,12.903225806451612
goes,12.903225806451612
he's,12.903225806451612
care,12.903225806451612
lotta,12.903225806451612
fast,12.903225806451612
kiss,12.903225806451612
lost,12.903225806451612
met,11.827956989247312
mind,11.827956989247312
away,11.827956989247312
found,11.827956989247312
cry,11.827956989247312
back,11.827956989247312
make,10.75268817204301
bells,10.75268817204301
happy,10.75268817204301
think,10.75268817204301
gotta,10.75268817204301
sun,10.75268817204301
send,10.75268817204301
thrill,10.75268817204301
wannawanna,10.75268817204301
beat,10.75268817204301
lose,10.75268817204301
dreams,9.67741935483871
bop,9.67741935483871
loving,9.67741935483871
goin',9.67741935483871
blood,9.67741935483871
haven't,9.67741935483871
jailhouse,9.67741935483871
it's,9.67741935483871
hmm,9.67741935483871
told,8.60215053763441
white,8.60215053763441
lottalotta,8.60215053763441
seaside,8.60215053763441
die,8.60215053763441
may,8.60215053763441
butterfly,8.60215053763441
walkin',8.60215053763441
middle,8.60215053763441
moonlight,8.60215053763441
song,8.60215053763441
two,8.60215053763441
stickin',8.60215053763441
door,8.60215053763441
darlin',8.60215053763441
part,8.60215053763441
hopin',8.60215053763441
sifting,8.60215053763441
singin',8.60215053763441
shakin',8.60215053763441
goin,8.60215053763441
arms,7.526881720430108
hot,7.526881720430108
gamble,7.526881720430108
gambled,7.526881720430108
rider,7.526881720430108
talkin',7.526881720430108
near,7.526881720430108
hearts,7.526881720430108
crazy,7.526881720430108
shake,7.526881720430108
name,7.526881720430108
behind,7.526881720430108
o',7.526881720430108
moon,7.526881720430108
island,7.526881720430108
low,7.526881720430108
aw,7.526881720430108
town,7.526881720430108
share,7.526881720430108
needs,7.526881720430108
blues,7.526881720430108
feet,7.526881720430108
pretty,7.526881720430108
tender,7.526881720430108
available,7.526881720430108
real,7.526881720430108
try,7.526881720430108
forbid,7.526881720430108
started,7.526881720430108
sit,7.526881720430108
stars,7.526881720430108
bet,7.526881720430108
thought,7.526881720430108
shook,6.451612903225806
wrong,6.451612903225806
goodbye,6.451612903225806
